,date,active_energy_kj,exercise_time_min,stand_time_min,basal_energy_burned_kj,resting_heart_rate_count_min,asleep_min_acitvity,min_in_bed_activity,step_count
153,2022-03-03,4131.0,55.0,288.0,8793.0,39.0,,,19522.0
154,2022-03-04,1348.0,2.0,59.0,8425.0,39.0,424.14863179723415,851.5388958434263,3481.0
155,2022-03-05,1003.0,1.0,11.0,8348.0,41.0,,,1070.0
156,2022-03-06,981.35,,8.0,7990.0,38.0,,,1191.0
157,2022-03-07,931.38,,14.0,7997.0,,500.5013486782709,645.0250662724176,1225.0
158,2022-03-08,1257.0,,25.0,8090.0,44.0,50.149989616870876,79.31669555505114,1710.0
159,2022-03-09,1686.0,10.0,74.0,8398.0,39.0,316.5228077352047,295.8636691848437,5299.0
160,2022-03-10,1998.0,13.0,107.0,8713.0,39.0,567.6906878173351,831.0661445021631,5685.0
161,2022-03-11,1479.0,18.0,39.0,8556.0,45.0,376.04218576153124,453.9463319400947,2320.0
162,2022-03-12,1439.0,,36.0,8538.0,41.0,371.8367286344369,536.3244602382183,2470.0
163,2022-03-13,1466.0,5.0,54.0,8200.0,45.0,401.2319477876027,568.9213168819746,3036.0
164,2022-03-14,882.14,2.0,25.0,8073.0,47.0,455.5929607649644,478.5345347464085,1758.0
165,2022-03-15,1735.0,2.0,88.0,8570.0,46.0,,,4774.0
166,2022-03-16,1465.0,,40.0,8596.0,43.0,435.29670623342196,562.1797933955988,2025.0
167,2022-03-17,1364.0,2.0,51.0,8470.0,39.0,355.44307631452875,374.2764045655727,3179.0
168,2022-03-18,1647.0,6.0,36.0,8724.0,45.0,447.5888859450817,674.5736820240816,2612.0
169,2022-03-19,1800.0,26.0,64.0,8406.0,44.0,422.2614007989566,447.72783763011296,4475.0
170,2022-03-20,1353.0,,24.0,8603.0,44.0,,,1332.0
171,2022-03-21,1089.0,1.0,13.0,8416.0,39.0,451.6395886262258,549.5062799890836,1244.0
172,2022-03-22,1378.0,4.0,55.0,8494.0,39.0,383.88736438552536,434.28340418140095,3315.0
173,2022-03-23,1714.0,4.0,68.0,8560.0,41.0,,,5663.0
174,2022-03-24,1252.0,,20.0,8528.0,47.0,531.2489735603333,616.5824844241142,1392.0
175,2022-03-25,1636.0,7.0,92.0,8438.0,40.0,,,6244.0
176,2022-03-26,1344.0,5.0,30.0,8353.0,48.0,344.77607805331553,397.4510137438774,2748.0
177,2022-03-27,1239.0,2.0,71.0,7831.0,,441.4798119723797,530.192289942503,3803.0
178,2022-03-28,1460.0,5.0,38.0,8591.0,47.0,384.538862435023,384.538862435023,2847.0
179,2022-03-29,2678.0,49.0,131.0,8632.0,42.0,,,10032.0
180,2022-03-30,2255.0,18.0,141.0,8515.0,44.0,,,9673.0
181,2022-03-31,2841.0,53.0,152.0,8615.0,50.0,374.2219367007414,413.88862647414203,11940.0
182,2022-04-01,3278.0,17.0,195.0,9171.0,,60.44853913982709,127.53183560172718,10652.0
183,2022-04-02,1320.0,1.0,32.0,8544.0,59.0,,,1755.0
184,2022-04-03,2961.0,36.0,192.0,8858.0,57.0,,,10484.0
185,2022-04-04,1331.0,8.0,55.0,8371.0,54.0,401.3406587680181,515.4070910533269,3285.0
186,2022-04-05,639.75,,25.0,8029.0,57.0,754.5564349551993,930.339289488395,1135.0
187,2022-04-06,1061.0,4.0,18.0,8403.0,59.0,465.4735127349694,460.46771896084147,1444.0
188,2022-04-07,1335.0,7.0,44.0,8508.0,54.0,183.51783847212792,264.06605788270633,2500.0
189,2022-04-08,1540.0,11.0,52.0,8541.0,53.0,379.05947539011635,379.05947539011635,3132.0
190,2022-04-09,1076.0,,23.0,8405.0,65.0,464.4184193809827,524.7649444103241,1510.0
191,2022-04-10,1234.0,4.0,26.0,8452.0,53.0,458.6654758056004,550.4488947113355,1902.0
192,2022-04-11,1065.0,,10.0,8431.0,54.0,417.7860792398452,480.0154683788617,1582.0
193,2022-04-12,3088.0,66.0,122.0,8759.0,51.0,494.29083297451336,547.1241529524327,8662.0
194,2022-04-13,2231.0,27.0,88.0,8893.0,64.0,522.7639367322126,698.9475353340308,6354.0
195,2022-04-14,2358.0,40.0,128.0,8819.0,54.0,,,7402.0
196,2022-04-15,982.03,,22.0,8001.0,56.0,587.372576580445,760.8059249460698,1202.0
197,2022-04-16,1312.0,5.0,36.0,8222.0,48.0,407.304935147365,461.98185853759446,2170.0
198,2022-04-17,1875.0,13.0,58.0,8501.0,54.0,401.07267439961436,461.3226941168308,4133.0
199,2022-04-18,3604.0,62.0,205.0,8733.0,60.0,,,13713.0
200,2022-04-19,1727.0,19.0,64.0,8801.0,52.0,367.61355770428975,367.61355770428975,4157.0
