,start,end,min_in_bed,sleep_quality,min_awake,min_rem_sleep,min_light_sleep,min_deep_sleep,total_asleep
164,2022-04-30 22:24:03,2022-05-01 05:50:54,447,90,15,76,176,180,432
165,2022-05-01 20:38:14,2022-05-02 05:13:25,515,93,0,104,219,192,515
166,2022-05-02 17:09:05,2022-05-02 17:58:50,50,81,0,0,31,19,50
167,2022-05-03 20:19:30,2022-05-04 04:18:57,479,90,29,91,190,169,450
168,2022-05-04 22:08:23,2022-05-05 05:28:51,440,94,14,95,159,173,426
169,2022-05-05 18:53:16,2022-05-05 19:28:58,36,81,0,0,11,25,36
170,2022-05-06 22:23:49,2022-05-07 07:08:19,525,91,12,94,210,208,513
171,2022-05-07 23:48:17,2022-05-08 08:24:39,516,94,18,103,179,216,498
172,2022-05-08 20:53:17,2022-05-09 05:29:47,516,86,40,103,169,205,476
173,2022-05-11 18:53:36,2022-05-11 22:33:47,220,63,0,46,74,100,220
174,2022-05-12 21:23:31,2022-05-13 04:48:42,445,93,12,93,142,198,433
175,2022-05-13 19:53:27,2022-05-14 05:58:26,605,93,15,123,227,240,590
176,2022-05-14 10:18:16,2022-05-14 10:58:04,40,84,0,0,17,23,40
177,2022-05-14 23:08:43,2022-05-15 07:48:19,520,89,0,89,179,252,520
178,2022-05-15 17:03:19,2022-05-15 17:58:19,55,83,0,0,29,26,55
179,2022-05-15 23:04:35,2022-05-16 04:43:50,339,81,25,72,109,133,314
180,2022-05-16 21:08:39,2022-05-17 04:58:00,469,91,0,89,204,176,469
181,2022-05-17 22:54:05,2022-05-18 00:53:52,120,89,0,30,59,31,120
182,2022-05-18 20:38:18,2022-05-19 03:28:40,410,88,27,75,148,160,383
183,2022-05-20 18:03:20,2022-05-20 23:44:00,341,79,0,114,76,151,341
184,2022-05-21 02:03:33,2022-05-21 04:58:04,175,88,0,43,78,54,175
185,2022-05-22 03:38:26,2022-05-22 05:28:19,110,85,0,44,42,24,110
186,2022-05-22 19:38:20,2022-05-23 03:28:38,470,89,15,85,218,152,455
187,2022-05-23 21:55:37,2022-05-24 05:13:49,438,80,60,58,160,160,378
188,2022-05-25 20:09:17,2022-05-26 05:44:23,575,89,15,107,171,282,560
189,2022-05-26 20:38:55,2022-05-27 01:48:20,309,32,89,29,133,58,220
190,2022-05-28 13:23:57,2022-05-28 14:29:37,66,83,0,0,37,29,66
191,2022-05-29 00:53:39,2022-05-29 06:59:45,366,90,0,73,122,171,366
